,Subtype
GTEX_heartLV_116,2
GTEX_heartLV_117,0
GTEX_heartLV_118,1
GTEX_heartLV_119,1
GTEX_heartLV_120,0
GTEX_heartLV_121,2
GTEX_heartLV_122,1
GTEX_heartLV_123,2
GTEX_heartLV_124,0
GTEX_heartLV_125,1
GTEX_heartLV_126,0
GTEX_heartLV_127,0
GTEX_heartLV_128,2
GTEX_heartLV_129,2
GTEX_heartLV_130,2
GTEX_heartLV_131,0
GTEX_heartLV_132,1
GTEX_heartLV_133,1
GTEX_heartLV_134,2
GTEX_heartLV_135,0
GTEX_heartLV_136,1
GTEX_heartLV_137,2
GTEX_heartLV_138,1
GTEX_heartLV_139,1
GTEX_heartLV_140,0
GTEX_heartLV_141,2
GTEX_heartLV_142,2
GTEX_heartLV_143,2
GTEX_heartLV_144,2
GTEX_heartLV_145,2
GTEX_heartLV_146,1
GTEX_heartLV_147,1
GTEX_heartLV_148,1
GTEX_heartLV_149,1
GTEX_heartLV_150,2
GTEX_heartLV_151,0
GTEX_heartLV_152,2
GTEX_heartLV_153,2
GTEX_heartLV_154,0
GTEX_heartLV_155,0
GTEX_heartLV_156,0
GTEX_heartLV_157,2
GTEX_heartLV_158,2
GTEX_heartLV_159,2
GTEX_heartLV_160,2
GTEX_heartLV_161,2
GTEX_heartLV_162,1
GTEX_heartLV_163,2
GTEX_heartLV_164,2
GTEX_heartLV_165,0
GTEX_heartLV_166,0
GTEX_heartLV_167,0
GTEX_heartLV_168,1
GTEX_heartLV_169,2
GTEX_heartLV_170,1
GTEX_heartLV_171,1
GTEX_heartLV_172,0
GTEX_heartLV_173,0
GTEX_heartLV_174,0
GTEX_heartLV_175,2
GTEX_heartLV_176,2
GTEX_heartLV_177,0
GTEX_heartLV_178,2
GTEX_heartLV_179,0
GTEX_heartLV_180,2
GTEX_heartLV_181,2
GTEX_heartLV_182,1
GTEX_heartLV_183,1
GTEX_heartLV_184,0
GTEX_heartLV_185,2
GTEX_heartLV_186,1
GTEX_heartLV_187,0
GTEX_heartLV_188,1
GTEX_heartLV_189,1
GTEX_heartLV_190,2
GTEX_heartLV_191,1
GTEX_heartLV_192,1
GTEX_heartLV_193,2
GTEX_heartLV_194,2
GTEX_heartLV_195,0
GTEX_heartLV_196,1
GTEX_heartLV_197,1
GTEX_heartLV_198,0
GTEX_heartLV_199,0
GTEX_heartLV_200,1
GTEX_heartLV_201,0
GTEX_heartLV_202,2
GTEX_heartLV_203,2
GTEX_heartLV_204,1
GTEX_heartLV_205,2
GTEX_heartLV_206,2
GTEX_heartLV_207,1
GTEX_heartLV_208,0
GTEX_heartLV_209,2
GTEX_heartLV_210,1
GTEX_heartLV_211,0
GTEX_heartLV_212,0
GTEX_heartLV_213,2
GTEX_heartLV_214,1
GTEX_heartLV_215,2
GTEX_heartLV_216,0
GTEX_heartLV_217,0
GTEX_heartLV_218,0
GTEX_heartLV_219,0
GTEX_heartLV_220,2
GTEX_heartLV_221,0
GTEX_heartLV_222,1
GTEX_heartLV_223,1
GTEX_heartLV_224,1
GTEX_heartLV_225,1
GTEX_heartLV_226,2
GTEX_heartLV_227,0
GTEX_heartLV_228,1
GTEX_heartLV_229,0
GTEX_heartLV_230,0
GTEX_heartLV_231,2
GTEX_heartLV_232,2
GTEX_heartLV_233,0
GTEX_heartLV_234,2
GTEX_heartLV_235,2
GTEX_heartLV_236,2
GTEX_heartLV_237,0
GTEX_heartLV_238,0
GTEX_heartLV_239,1
GTEX_heartLV_240,0
GTEX_heartLV_241,2
GTEX_heartLV_242,0
GTEX_heartLV_243,1
GTEX_heartLV_244,1
GTEX_heartLV_245,2
GTEX_heartLV_246,2
GTEX_heartLV_247,0
GTEX_heartLV_248,1
GTEX_heartLV_249,0
GTEX_heartLV_250,1
GTEX_heartLV_251,0
GTEX_heartLV_252,1
GTEX_heartLV_253,1
GTEX_heartLV_254,1
GTEX_heartLV_255,0
GTEX_heartLV_256,1
GTEX_heartLV_257,2
GTEX_heartLV_258,1
GTEX_heartLV_259,2
GTEX_heartLV_260,0
GTEX_heartLV_261,0
GTEX_heartLV_262,1
GTEX_heartLV_263,2
GTEX_heartLV_264,2
GTEX_heartLV_265,2
GTEX_heartLV_266,0
GTEX_heartLV_267,2
GTEX_heartLV_268,1
GTEX_heartLV_269,0
GTEX_heartLV_270,1
GTEX_heartLV_271,2
GTEX_heartLV_272,1
GTEX_heartLV_273,0
GTEX_heartLV_274,2
GTEX_heartLV_275,1
GTEX_heartLV_276,2
GTEX_heartLV_277,1
GTEX_heartLV_278,2
GTEX_heartLV_279,2
GTEX_heartLV_280,0
GTEX_heartLV_281,2
GTEX_heartLV_282,0
GTEX_heartLV_283,1
GTEX_heartLV_284,1
GTEX_heartLV_285,1
GTEX_heartLV_286,0
GTEX_heartLV_287,0
GTEX_heartLV_288,2
GTEX_heartLV_289,2
GTEX_heartLV_290,2
GTEX_heartLV_291,1
GTEX_heartLV_292,2
GTEX_heartLV_293,2
GTEX_heartLV_294,0
GTEX_heartLV_295,2
GTEX_heartLV_296,1
GTEX_heartLV_297,0
GTEX_heartLV_298,2
GTEX_heartLV_299,2
GTEX_heartLV_300,2
GTEX_heartLV_301,2
GTEX_heartLV_302,0
GTEX_heartLV_303,0
GTEX_heartLV_304,1
GTEX_heartLV_305,2
GTEX_heartLV_306,1
GTEX_heartLV_307,2
GTEX_heartLV_308,1
GTEX_heartLV_309,2
GTEX_heartLV_310,2
GTEX_heartLV_311,2
GTEX_heartLV_312,2
GTEX_heartLV_313,0
GTEX_heartLV_314,0
GTEX_heartLV_315,2
GTEX_heartLV_316,2
GTEX_heartLV_317,2
GTEX_heartLV_318,2
GTEX_heartLV_319,2
GTEX_heartLV_320,1
GTEX_heartLV_321,0
GTEX_heartLV_322,0
GTEX_heartLV_323,1
GTEX_heartLV_324,2
GTEX_heartLV_325,1
GTEX_heartLV_326,2
GTEX_heartLV_327,2
GTEX_heartLV_328,1
GTEX_heartLV_329,2
GTEX_heartLV_330,2
GTEX_heartLV_331,0
GTEX_heartLV_332,1
GTEX_heartLV_333,2
GTEX_heartLV_334,2
GTEX_heartLV_335,1
GTEX_heartLV_336,2
GTEX_heartLV_337,2
GTEX_heartLV_338,2
GTEX_heartLV_339,1
GTEX_heartLV_340,2
GTEX_heartLV_341,2
GTEX_heartLV_342,2
GTEX_heartLV_343,2
GTEX_heartLV_344,2
GTEX_heartLV_345,0
GTEX_heartLV_346,2
GTEX_heartLV_347,2
GTEX_heartLV_348,1
GTEX_heartLV_349,1
GTEX_heartLV_350,1
GTEX_heartLV_351,0
GTEX_heartLV_352,2
GTEX_heartLV_353,1
GTEX_heartLV_354,1
GTEX_heartLV_355,2
GTEX_heartLV_356,2
GTEX_heartLV_357,1
GTEX_heartLV_358,1
GTEX_heartLV_359,2
GTEX_heartLV_360,1
GTEX_heartLV_361,2
GTEX_heartLV_362,0
GTEX_heartLV_363,2
GTEX_heartLV_364,0
GTEX_heartLV_365,0
GTEX_heartLV_366,0
GTEX_heartLV_367,2
GTEX_heartLV_368,0
GTEX_heartLV_369,1
GTEX_heartLV_370,2
GTEX_heartLV_371,0
GTEX_heartLV_372,2
GTEX_heartLV_373,2
GTEX_heartLV_374,1
GTEX_heartLV_375,2
GTEX_heartLV_376,2
GTEX_heartLV_377,2
GTEX_heartLV_378,2
GTEX_heartLV_379,0
GTEX_heartLV_380,1
GTEX_heartLV_381,2
GTEX_heartLV_382,0
GTEX_heartLV_383,0
GTEX_heartLV_384,1
GTEX_heartLV_385,0
GTEX_heartLV_386,2
